temp_avg;temp_max;temp_min;precipitation;humidity;wind;pressure;date
20,3;27;13;;88;3;737;07.06.2019
20,8;27;14;;68;8;735,3;08.06.2019
20,6;26;15,6;;68;10;734,3;09.06.2019
20;26;14;;67;7;734,6;10.06.2019
20,2;25,8;13,5;0;65;6;735,3;11.06.2019
21,4;27;13,8;0,2;66;4;736,9;12.06.2019
20,5;25;16,5;;89;3;741,4;13.06.2019
22,7;30;15;;64;7;739,3;14.06.2019
24,4;32;17;;49;8;736,3;15.06.2019
24,1;33;16,5;;55;7;735,8;16.06.2019
24,2;33;16;;54;8;735,8;17.06.2019
24,4;31,7;17;;53;4;737,1;18.06.2019
24,3;31;15,4;;53;4;737;19.06.2019
23,7;31,3;17,3;5;65;5;734,4;20.06.2019
20,6;30;16,7;5;86;5;737,6;21.06.2019
20,8;25;17,4;;70;2;738,2;22.06.2019
22,4;28;16,5;;66;9;735,3;23.06.2019
23,4;31;16,5;;61;6;733,5;24.06.2019
21,9;31;16,5;;76;4;734,6;25.06.2019
19,8;25;17;5;78;2;737,4;26.06.2019
20,6;25;17,9;4,5;89;2;737,7;27.06.2019
20,1;25;17;;93;3;740,1;28.06.2019
23;30;17;;69;6;742,1;29.06.2019
24;33;16;;64;6;741,5;30.06.2019
23,6;29;20;7;76;8;734,9;01.07.2019
17,5;26;13,2;;47;5;734,5;02.07.2019
16,9;23,1;11;;49;6;735,8;03.07.2019
21,3;30;11;;55;4;735,1;04.07.2019
26,1;34;17;;48;6;734,2;05.07.2019
23,9;33;20;0,6;75;6;734,2;06.07.2019
18,6;27;12,5;;60;5;736,4;07.07.2019
16,5;23;8,5;;44;4;738,4;08.07.2019
15,8;24,5;8,5;0,2;47;4;734,3;09.07.2019
17,8;24,3;11;;62;5;730,5;10.07.2019
20,5;28;14,9;16;57;3;727,9;11.07.2019
15,2;21;10;;71;5;731,6;12.07.2019
13;19,9;5,4;1;65;5;731,4;13.07.2019
14,1;18;11;3;82;7;731,1;14.07.2019
14,2;18;11;;83;3;731,3;15.07.2019
16,8;22,4;11;3;59;4;732,3;16.07.2019
16,1;22,7;9,1;4;61;5;731,4;17.07.2019
15,5;22;12,4;3;94;3;731,7;18.07.2019
16,1;22;10;;66;2;732,5;19.07.2019
17,6;24;10;;47;5;732,4;20.07.2019
16,2;23;11;2,7;71;8;731,6;21.07.2019
16,5;22;10;;64;3;733,5;22.07.2019
18,5;26,5;10;;47;3;735,5;23.07.2019
20,5;26,5;15,3;;53;3;735,8;24.07.2019
20,5;30;13,4;7;64;8;735,6;25.07.2019
20,3;26;16;;89;3;738,4;26.07.2019
19;25;15;;67;3;737,5;27.07.2019
19,6;26;15;;67;2;736,9;28.07.2019
21,4;28;15;;65;1;737,2;29.07.2019
18,5;27;14;7;92;2;733,2;30.07.2019
19,1;26,1;11,1;1,5;72;3;730,9;31.07.2019
24,9;33;19;;63;6;727,4;01.08.2019
25,5;34;18;;48;5;727,3;02.08.2019
22,6;32;17,5;5,1;88;4;729,5;03.08.2019
21,4;29;17,5;;89;3;731,9;04.08.2019
20,1;27;15,5;;85;1;734;05.08.2019
19,5;25;16;;67;4;733;06.08.2019
16,6;24;12;;66;2;731,6;07.08.2019
16,6;22;12,2;4;79;6;732,3;08.08.2019
17,3;22;13;2,2;73;3;733,6;09.08.2019
18,5;26;12,5;0,2;94;3;733,6;10.08.2019
21,4;29;15;;61;9;731,6;11.08.2019
20,1;28;17;14;90;5;730,8;12.08.2019
19,6;26,6;13;;73;4;734;13.08.2019
20,2;28,9;10,8;;45;1;733,4;14.08.2019
21,7;28,9;17;19;95;3;735;15.08.2019
23,1;33;15,7;;73;7;735,3;16.08.2019
21,3;31;20;15;86;3;734;17.08.2019
16,9;22;16;41,5;96;4;733,3;18.08.2019
16;22;11,5;;91;1;735,8;19.08.2019
15,8;22,6;10,5;;75;1;735,9;20.08.2019
15,6;23,8;8;;59;2;734,2;21.08.2019
18,7;28;10;;65;3;735;22.08.2019
22,3;32;13;;68;1;736,3;23.08.2019
22,5;31;16;;81;1;738,8;24.08.2019
21,9;29;16;;68;4;739,5;25.08.2019
18;25;13;;76;3;744,3;26.08.2019
18,8;24;14;0,2;78;6;744;27.08.2019
20,1;25,9;12,3;;55;3;743;28.08.2019
21,7;28,4;16;;56;3;739,8;29.08.2019
23,7;32;17,3;;64;5;739,7;30.08.2019
22,1;32;15;;52;4;740,7;31.08.2019
22;32;14;;56;7;739,8;01.09.2019
22,1;32;15;;61;6;738,6;02.09.2019
20,3;30,9;15;8;77;2;739;03.09.2019
20,9;28,1;14,5;;72;2;737,9;04.09.2019
21,6;31;13,6;;60;4;733,7;05.09.2019
21,1;28;15;;70;3;734,3;06.09.2019
15,1;27;12;18,4;94;7;738,2;07.09.2019
15,9;21;11;;92;2;739,5;08.09.2019
15,7;24;9;;68;7;736,2;09.09.2019
15,7;22,3;10;;82;2;738,4;10.09.2019
17,7;24,6;9,5;;65;5;738,6;11.09.2019
19,2;24,6;13;0,2;68;7;737,5;12.09.2019
19,1;25;12;0;48;9;735,6;13.09.2019
18,9;23;13;;63;7;737,4;14.09.2019
17,4;25;12;;77;3;741,1;15.09.2019
17,1;25;11;;75;3;742,9;16.09.2019
15,9;23;10;;78;5;744;17.09.2019
15,1;22,3;12,4;;55;4;743,5;18.09.2019
12;21;2,8;;70;3;741,5;19.09.2019
14,8;21;10;;61;6;735,4;20.09.2019
13,5;18;11;;90;4;732,9;21.09.2019
10,4;16;7;;60;15;733,4;22.09.2019
9,3;14,7;5;0,4;82;4;739;23.09.2019
7,5;14;5;0;81;7;741,2;24.09.2019
8,2;16;2;;66;5;739,8;25.09.2019
11,4;22;2;;72;3;737,3;26.09.2019
10,8;20;5;;95;3;735,9;27.09.2019
11,1;18;5;;86;4;735,8;28.09.2019
11,3;18;5;0,1;94;3;732,4;29.09.2019
14,6;18;10;0,4;93;6;731,6;30.09.2019
14,5;19;11;;92;2;735,1;01.10.2019
14,6;20,9;9,6;16;66;6;734,9;02.10.2019
13,9;19;7,9;;87;6;733,3;03.10.2019
15,3;21,5;11;7;73;14;725,6;04.10.2019
14,3;19;11;;76;9;730,7;05.10.2019
16,8;25;10;;59;10;727,9;06.10.2019
10,5;20;8;13;94;4;729,5;07.10.2019
6,9;11;3;;96;2;733,3;08.10.2019
8;11,5;5,3;6,5;71;2;731,2;09.10.2019
6;9;5;1,2;95;2;734,1;10.10.2019
2,8;7;-2;;90;3;737,1;11.10.2019
4,4;11;-1,5;;79;8;737,3;12.10.2019
9,9;13;7;2,2;92;7;733,4;13.10.2019
11,8;17;8;1,2;80;8;732;14.10.2019
10,6;15,7;7;2;82;9;738,2;15.10.2019
12,8;19,3;6,7;;51;5;737,9;16.10.2019
12,4;23;3;;55;4;738,8;17.10.2019
12,8;24;4,6;;86;5;738,3;18.10.2019
12,9;24,5;5;;94;5;736,7;19.10.2019
13,9;24;6;;80;5;734,6;20.10.2019
13,5;21;9;;78;4;737,5;21.10.2019
12,3;24;5;;94;4;736,5;22.10.2019
13,1;21,4;7,1;;66;4;736;23.10.2019
14,3;23;7,1;;69;8;737,1;24.10.2019
14;24;7;;91;8;738,6;25.10.2019
13,1;24;5;;94;3;740,7;26.10.2019
12,8;22;6;;94;3;740,1;27.10.2019
13;24;5;;91;5;737,2;28.10.2019
11,8;22,7;7;;95;4;737,5;29.10.2019
9,9;19,4;3,7;;100;2;738,6;30.10.2019
12,3;22,5;3;;66;7;735,6;31.10.2019
7,8;18;8;0,6;92;4;736,6;01.11.2019
4,2;9;0;;86;4;738;02.11.2019
4;8;2;;65;3;742,6;03.11.2019
2,1;7;-3;;84;2;743,4;04.11.2019
1,3;8;-4;;69;6;740,9;05.11.2019
3;8,6;-1,5;1,2;90;5;731,2;06.11.2019
11,8;15,6;6,5;;67;7;724,6;07.11.2019
14,4;17;11;6,4;75;7;721,4;08.11.2019
12,1;17;8;0,4;71;12;723,8;09.11.2019
9,7;14;8;12;95;5;724,7;10.11.2019
7,1;11;5;1,8;95;5;729,8;11.11.2019
6,7;10,5;2;2;95;4;732,9;12.11.2019
10,9;15,5;6,4;;79;6;731,7;13.11.2019
9,4;13,7;7;0,1;97;3;730,9;14.11.2019
6,6;10;5;;95;4;734,8;15.11.2019
6,3;13;0;0;96;6;734,7;16.11.2019
12,8;15;10;;80;10;729,3;17.11.2019
12,4;15;10;0,2;90;3;731,8;18.11.2019
8,4;12;7;0,4;94;5;734,4;19.11.2019
8;9,8;7;;95;5;735,2;20.11.2019
9,7;12,5;7,7;;94;7;736,6;21.11.2019
9,5;12;8;;88;8;735,7;22.11.2019
8,6;14;1;;95;4;740,4;23.11.2019
9,8;14;4;;95;11;739,8;24.11.2019
6,9;13;4;2,4;93;17;739;25.11.2019
0,3;4;-1;;88;13;740,3;26.11.2019
-2,8;-0,5;-4,2;0,5;94;7;737,9;27.11.2019
-1,4;0;-2,3;;95;7;738;28.11.2019
0,7;2;-1,5;;95;5;735,7;29.11.2019
1,5;2;1;;95;5;733,9;30.11.2019
2,6;6;1;;94;6;730,4;01.12.2019
5,4;10;1;4;95;7;725,8;02.12.2019
6,8;11;2;1,4;95;7;724,2;03.12.2019
2,4;9;0;0,2;93;5;732;04.12.2019
-1,1;2;-4,5;;84;4;740,4;05.12.2019
-1,5;1;-3,5;0,2;85;5;736,4;06.12.2019
0,2;2;0;1,3;94;10;738,8;07.12.2019
-1,8;2;-8;;88;6;743,1;08.12.2019
-1,2;3,5;-5;;81;6;741,9;09.12.2019
1,5;6,7;-3;;58;8;736,9;10.12.2019
-0,5;6,8;-7,4;1,8;77;6;732,6;11.12.2019
4,2;7,1;2,7;0,2;77;5;732,2;12.12.2019
7,8;11,6;3;;72;9;728,6;13.12.2019
3,8;10;1;;90;6;733,9;14.12.2019
1,8;4;0;;88;4;737,9;15.12.2019
2,5;4;0,5;;95;7;731,4;16.12.2019
2,3;3;1;;93;10;723,5;17.12.2019
2,5;3,4;1,7;;95;6;722,4;18.12.2019
5,4;8,3;1,4;;72;10;729,3;19.12.2019
7,9;12;4;;95;11;735,5;20.12.2019
9,5;14;4;;73;9;734,5;21.12.2019
12,1;16;9;;70;8;736,6;22.12.2019
6,1;14;2;;94;3;741,8;23.12.2019
3,6;9;2;;95;5;734;24.12.2019
6,8;12,2;2;0,2;86;8;724,2;25.12.2019
7,3;11;5;0,2;92;5;718,1;26.12.2019
5,1;9;2;9,7;94;4;717,9;27.12.2019
4,6;6;3;10;94;9;725,6;28.12.2019
3,2;4;2;2;93;5;730;29.12.2019
3,4;4;2;0,4;89;10;733,9;30.12.2019
2,8;4;2;0,2;92;11;736,3;31.12.2019
-0,3;2;-1,5;3,2;92;8;740,8;01.01.2020
-2,9;-1;-4;;88;4;746;02.01.2020
-3,1;-0,2;-4,7;;87;3;746,1;03.01.2020
1,8;3,8;-0,2;3,2;65;11;736,4;04.01.2020
2,6;3,1;2;;79;6;742,8;05.01.2020
2,3;5;0;;73;10;743,1;06.01.2020
0;5;-4,5;;65;2;740;07.01.2020
0,6;3,3;-5,6;2;91;6;734,5;08.01.2020
0,3;1,3;-0,4;;83;7;736,8;09.01.2020
-2,1;0,5;-4,9;;95;2;743,7;10.01.2020
-2,2;3;-7,6;;75;3;742,6;11.01.2020
-1,8;2;-6;;91;6;744,1;12.01.2020
1,5;2;-1;3,4;94;7;740,8;13.01.2020
3,4;7;1;;82;3;736,9;14.01.2020
4,3;5,2;2,5;3;89;6;739,4;15.01.2020
3,2;6;1,6;;87;10;742,3;16.01.2020
3,3;6;1;;80;10;740,3;17.01.2020
2,3;7;-1,5;;76;6;740,1;18.01.2020
2,6;9;-2,5;;80;8;741,7;19.01.2020
1,8;7;-3;;79;7;744,2;20.01.2020
0,8;3;-2,5;;95;6;746,1;21.01.2020
-1,1;2;-1,4;;96;5;742,2;22.01.2020
-2,1;0;-2;0,1;95;2;744,1;23.01.2020
0,1;1;-2;0,2;95;4;753,2;24.01.2020
2,3;6;-2;;82;12;750,7;25.01.2020
1,4;4;0;0,3;63;16;741,2;26.01.2020
1,6;2;0,1;;75;10;744,5;27.01.2020
1,1;5,3;-3,5;;71;6;741;28.01.2020
-0,5;4;-3,9;;71;6;738,2;29.01.2020
-1,5;5,8;-6,4;;79;3;737,6;30.01.2020
0,3;7;-3;;92;5;735,2;31.01.2020
1,2;7;-4;;83;7;728,6;01.02.2020
2,6;5;1;12,5;86;10;724,6;02.02.2020
2,3;4;1;3,5;94;10;729,9;03.02.2020
3,5;6;1;6,5;94;8;726,2;04.02.2020
6,9;10,3;5,5;4,2;94;5;729,4;05.02.2020
8,4;10,5;7;3,5;84;15;727,5;06.02.2020
4,4;8;3;4,8;91;8;726,8;07.02.2020
3,9;6;2;14,7;94;7;723,4;08.02.2020
0,9;3;0;6,2;82;10;731;09.02.2020
-1,9;-0,1;-5;2,7;93;9;738,5;10.02.2020
-1,3;0;-3;;74;10;739,5;11.02.2020
-6;-1;-12;;86;3;742,5;12.02.2020
-1,8;4;-9;;74;9;741,3;13.02.2020
5,2;7;1;1,2;72;19;726,7;14.02.2020
3,3;7;2;4;80;15;721,7;15.02.2020
3;4;2;;70;15;728,3;16.02.2020
2,8;5;1;;69;12;734,9;17.02.2020
2,3;4,5;-0,2;;68;6;732,6;18.02.2020
1;3,5;0;;92;3;740,4;19.02.2020
2,1;10;-4;;80;9;741,4;20.02.2020
9,3;14;2,6;;56;10;737,1;21.02.2020
6,9;11;4;2;91;8;737,1;22.02.2020
4,3;9;-1;;76;6;737,2;23.02.2020
3,8;7;2,5;0,2;85;6;737,5;24.02.2020
0,5;4;-3;8,2;65;4;736,2;25.02.2020
3,2;7;0,6;0,4;94;6;739,4;26.02.2020
4,7;6,8;3;3,4;92;7;731,2;27.02.2020
4,4;8;2;11,8;92;24;729,2;28.02.2020
4,8;8,5;1;4,6;77;12;727,5;29.02.2020
7;11;5;9,5;83;8;720,2;01.03.2020
3;8;2;0,1;77;9;724,1;02.03.2020
0,1;3,3;-3;3,4;81;4;727,2;03.03.2020
1,1;6,5;-3;;94;6;731,6;04.03.2020
6,5;12;2;0,2;54;15;728,7;05.03.2020
5,8;9;3;4,9;94;6;724,3;06.03.2020
7,5;7;0,5;;68;11;725,5;07.03.2020
5,7;13;3;7,5;94;5;728,4;08.03.2020
4,1;6,5;1;;81;5;730,5;09.03.2020
2;6;-2;0,2;91;5;727,1;10.03.2020
5,1;9,2;1,5;2,7;91;2;727;11.03.2020
4,4;8,2;3,4;;86;3;734,7;12.03.2020
4,9;10;2,3;;94;3;733,9;13.03.2020
4,9;12,4;-1;;71;6;733,2;14.03.2020
6,6;11;2;3,8;94;8;729,5;15.03.2020
10,5;17;3;0,2;72;13;731,7;16.03.2020
7,8;16;5;;57;6;731,4;17.03.2020
3,2;7,5;0,5;;41;8;733,8;18.03.2020
-0,7;6;-7,5;;46;3;743,5;19.03.2020
3,8;13;-5;;31;11;743,7;20.03.2020
7,3;13;2;;48;7;742,3;21.03.2020
6,1;16;-2,8;;53;6;744,3;22.03.2020
10;18,3;1;;56;7;740,7;23.03.2020
10,2;17,4;6;;75;4;739,6;24.03.2020
4,6;12;2;;95;5;738;25.03.2020
-0,2;3,5;-3;3,4;62;8;741,5;26.03.2020
-0,5;2,9;-3,5;1,2;74;10;746,9;27.03.2020
-0,8;4;-5,4;;46;11;749,4;28.03.2020
1,6;7;-5;;37;10;748,7;29.03.2020
6,4;15;0;;35;11;746,1;30.03.2020
8,9;15,2;1,5;;34;9;742,1;31.03.2020
10,7;16,5;4,4;;24;3;735,8;01.04.2020
7,6;16,6;-1,2;;36;5;730,4;02.04.2020
1,9;14,4;-1,2;0,4;88;11;735,1;03.04.2020
0,3;5,9;-6;;42;5;740,1;04.04.2020
-0,2;6,7;-6;;52;5;739;05.04.2020
3,1;11,9;-5;;35;5;734;06.04.2020
6,6;14;-1,9;;28;6;731,3;07.04.2020
5,9;12,3;-1,5;;37;2;739,7;08.04.2020
6,3;14;-3;;39;8;746,7;09.04.2020
9,4;17,4;0;;32;9;748,1;10.04.2020
9,7;19,9;-1,4;;25;3;745,5;11.04.2020
10,9;22;-1,2;;35;4;744,3;12.04.2020
13,7;22;2;;41;6;738,7;13.04.2020
9,9;13;6,6;;35;6;736,8;14.04.2020
7,7;15,1;-0,5;;31;3;739;15.04.2020
10,2;18,2;1;;28;5;738,1;16.04.2020
12,3;22;3,8;0,1;50;17;730,2;17.04.2020
5,7;17;2;3,6;58;7;732,8;18.04.2020
5,3;10;0;;50;12;737,1;19.04.2020
13;21;4,5;;39;12;734,6;20.04.2020
11,5;20;4;;57;7;733,3;21.04.2020
7,6;16;-1,6;;33;3;734,2;22.04.2020
8,3;13,9;2,4;;26;4;733,8;23.04.2020
5,6;10,8;-2,2;;40;3;738,1;24.04.2020
6,8;12,7;-0,4;;30;3;740,1;25.04.2020
7,4;15;-1,6;;39;3;741,3;26.04.2020
11,1;20;1;;40;8;738,8;27.04.2020
12;20,5;2;;37;10;732;28.04.2020
11,4;17,6;8;;42;6;724,5;29.04.2020
8,5;13,3;4;;61;6;729,9;30.04.2020
10,9;16,8;4,8;;42;5;732,6;01.05.2020
12,5;21,5;2;;39;7;731,1;02.05.2020
15,2;23,7;5;;54;7;727,2;03.05.2020
11,1;15,5;10,6;;83;4;728,7;04.05.2020
11;19,6;4;0,4;62;5;729,3;05.05.2020
13,7;19;10;;80;5;727,6;06.05.2020
9,5;11,5;5,7;8;94;4;730,8;07.05.2020
10;10,8;8;4;93;4;734,4;08.05.2020
9,1;18;3;5,9;56;6;732,7;09.05.2020
5,6;9;3;14,5;93;9;729,4;10.05.2020
9,6;13,4;6;;63;10;732,2;11.05.2020
10,6;17;4,3;;60;5;734,9;12.05.2020
12,4;20,6;2,5;;43;4;732,9;13.05.2020
15,9;24,1;3,8;;42;2;731;14.05.2020
8;27;13,6;;44;11;726,1;15.05.2020
10,3;27;4;;76;11;728,8;16.05.2020
6,9;14;-2;0,5;49;10;735,9;17.05.2020
7,2;13;6;18,9;94;4;732,6;18.05.2020
5,7;8,5;2;5,2;94;3;735,3;19.05.2020
9,7;16,8;3,5;;69;4;738,3;20.05.2020
10,7;18,3;3,9;;54;4;738;21.05.2020
13,1;19,5;3;;52;9;739,1;22.05.2020
16,9;23;7,8;;54;7;736,5;23.05.2020
14;16,5;10;24,6;64;3;736,1;24.05.2020
10,7;14,9;3,2;;43;5;737,5;25.05.2020
8,9;14,7;1;;55;5;739,5;26.05.2020
10,9;18;1,3;;47;2;740,4;27.05.2020
10,8;13;9;11,5;93;5;737,3;28.05.2020
11,5;16;7;4,5;74;3;739,9;29.05.2020
11,6;15;8;3;82;4;741,8;30.05.2020
13,1;19,3;9;3,5;87;3;742,6;31.05.2020
13,2;19,4;6,7;8;49;5;739,1;01.06.2020
13,7;18,2;9,7;1;66;6;736;02.06.2020
10,5;11;9,7;5,5;92;5;732,4;03.06.2020
12;16,9;8,9;12,3;95;7;728;04.06.2020
13,5;19,2;9;5,7;95;12;733,9;05.06.2020
9,3;13;4;6,7;66;3;730,8;06.06.2020
10,7;10;8;5,1;85;4;727,1;07.06.2020
12,9;19;4,1;;66;7;725,8;08.06.2020
17,4;23,8;11,2;;74;9;724,9;09.06.2020
19,4;24;14,5;;74;4;729,8;10.06.2020
21,5;27,9;14,5;5;64;3;730,8;11.06.2020
20,2;28,2;14,6;20;55;7;730,9;12.06.2020
17,9;23;14;;92;2;732,1;13.06.2020
17,9;23;15;5,5;89;3;731,9;14.06.2020
18;27;11,8;5,5;66;3;731,1;15.06.2020
21,2;30,3;14,5;4,5;72;3;729,8;16.06.2020
24,5;29,5;20;;60;4;729,9;17.06.2020
17,6;18;16,5;4;93;3;730,6;18.06.2020
17,8;21;15;;93;2;732,4;19.06.2020
18,7;24,2;15,3;1;91;2;732,6;20.06.2020
20,6;26;16;5;76;9;729,6;21.06.2020
20,1;25,5;16;2;75;6;729,7;22.06.2020
18,9;24,5;14,7;4;81;4;730,9;23.06.2020
18,6;24,7;16;28;88;2;731,3;24.06.2020
19,5;26;15,5;6,2;93;3;730,1;25.06.2020
20,8;26;17;27,5;95;5;731,2;26.06.2020
18,4;19;18;17,5;95;1;734,2;27.06.2020
17,1;19;15,5;;95;2;737,4;28.06.2020
20,8;26;15,7;;71;4;741,4;29.06.2020
20,6;26,6;15;;80;6;740,2;30.06.2020
21,5;27,3;16,2;;73;5;735,9;01.07.2020
21;28,4;15,1;5,5;67;6;734,2;02.07.2020
23,3;32;16,3;3,5;72;1;731,5;03.07.2020
20,1;25;15,7;1,5;69;5;731,8;04.07.2020
21,4;29;14;;64;7;732,9;05.07.2020
22;29;16,5;5,5;71;5;732,5;06.07.2020
20,1;24;17;19,5;95;2;732,5;07.07.2020
19,6;24;16,5;11;84;2;735,8;08.07.2020
20,9;28;13;;63;3;735,2;09.07.2020
22,9;29;15;19,6;63;8;731,4;10.07.2020
16,1;31;14;8,4;91;6;733;11.07.2020
15,7;17;9;;65;4;736;12.07.2020
16,8;22;12;4;90;3;737,4;13.07.2020
21,9;28,5;14;;63;9;736;14.07.2020
20,5;29,2;15,5;31;56;5;735,9;15.07.2020
12,9;17,2;10;10;96;4;739,5;16.07.2020
13,9;17;8;;74;4;739,5;17.07.2020
15,3;21;9;;76;2;737,4;18.07.2020
17,3;24;10;;54;2;734,8;19.07.2020
18;25,5;11;2;64;5;733,1;20.07.2020
18,2;23;14,5;10;72;2;734,4;21.07.2020
19,6;26,8;14,5;2;60;5;736,1;22.07.2020
19,6;27;13,9;10;85;7;735,5;23.07.2020
20,2;26,3;14;;69;3;735,2;24.07.2020
20;26;16;;76;4;736,8;25.07.2020
17,8;24;11,5;;75;5;738;26.07.2020
17,1;25;11;;59;4;736;27.07.2020
18,7;25,5;13;;69;3;734,4;28.07.2020
20,3;27,5;13,9;;50;1;732,7;29.07.2020
21;26;16,5;;83;3;734,2;30.07.2020
20,4;25;17;3,4;83;3;735,8;31.07.2020
21,4;29;14,5;;74;5;735,3;01.08.2020
22,2;27;16,5;;75;3;734,9;02.08.2020
22;29;16;;68;3;737;03.08.2020
19,6;27;13;;90;5;735,6;04.08.2020
16;21,7;10,8;;65;4;733,6;05.08.2020
17,4;25;9,5;;62;2;735,3;06.08.2020
19,4;28;11;;56;5;733;07.08.2020
21,3;29;14,5;;55;6;730,6;08.08.2020
19,9;25;17;2,8;95;1;735,3;09.08.2020
22,1;32;16,5;;78;3;739,1;10.08.2020
23,6;28;17,5;;58;6;740,7;11.08.2020
24,6;30;18,8;;52;4;739,9;12.08.2020
22;29,6;15,1;11,4;57;6;737,8;13.08.2020
21,3;29;16;;77;2;736,8;14.08.2020
20,3;28;15;3,4;65;7;737,2;15.08.2020
18,8;27;14;;81;3;738;16.08.2020
18,7;27,5;12;;55;4;737,4;17.08.2020
19;26;12;;65;6;735,8;18.08.2020
20,4;25,7;14,5;;50;5;735,3;19.08.2020
21,1;26,9;15,2;;63;6;735,8;20.08.2020
19,4;26;14;;79;3;734,4;21.08.2020
20,4;27;15;0,2;88;6;731;22.08.2020
19,8;23,4;16;;83;3;728,8;23.08.2020
20,1;26;16;;86;4;731,6;24.08.2020
21,2;28,1;14;;64;3;736,3;25.08.2020
21,4;29,4;13;;54;4;736,3;26.08.2020
19,5;26,9;14,2;;74;5;734,3;27.08.2020
20,2;25;15,6;;78;3;734,3;28.08.2020
17,4;20;15;0;89;3;733,4;29.08.2020
17,9;26;10;;71;10;732,3;30.08.2020
17,3;22;13,5;;61;9;731,5;31.08.2020
16;23;9,5;;59;4;732,9;01.09.2020
19,6;29,5;11,3;;52;5;731,6;02.09.2020
24,1;33;15,8;;56;9;731,5;03.09.2020
23,6;31;18,8;;56;9;731,5;04.09.2020
15,8;16;13;0,4;94;7;732,9;05.09.2020
17,1;23;12;;76;4;734,4;06.09.2020
15,3;21;11;;71;3;739,5;07.09.2020
15,7;22;10;;66;3;740,6;08.09.2020
18,1;25,1;11,9;;68;1;738,6;09.09.2020
17;22,8;11,9;;77;5;736,3;10.09.2020
15,4;18,4;15,8;;88;4;738,3;11.09.2020
13,4;20;9,5;;73;3;742,2;12.09.2020
14,9;28;8;;60;4;740,2;13.09.2020
16,8;24;11;;68;4;736,9;14.09.2020
15,2;21,8;9;;61;3;738,8;15.09.2020
16,4;25,8;9;;67;2;739,3;16.09.2020
18,4;26;11,1;;61;4;741,6;17.09.2020
17,8;24;13;;76;3;744,4;18.09.2020
17,4;27;8,5;;61;2;742,3;19.09.2020
20,3;31;14;;75;3;738,6;20.09.2020
16,7;21;6;;84;6;737,1;21.09.2020
11;16,4;4,6;;73;4;742,4;22.09.2020
10,8;20;3;;54;2;742,6;23.09.2020
12,9;22;8;;65;5;740,1;24.09.2020
13,4;22;9;;68;1;739;25.09.2020
15,6;25;7;;80;1;737,4;26.09.2020
16,5;27;7,6;;84;2;732,7;27.09.2020
16,9;24;12;0,8;85;5;731,5;28.09.2020
18,3;25;12;;68;7;728,7;29.09.2020
17,3;20,6;17;30,5;72;8;722,2;30.09.2020
10,5;11,3;8,7;5,2;95;5;726,5;01.10.2020
10,5;18;4;;91;7;735;02.10.2020
13,6;17;11;16;95;4;731,9;03.10.2020
12,8;15;12;15;95;10;727;04.10.2020
12,7;14;12;20;95;6;726,4;05.10.2020
13,2;16,5;11;;96;4;729,4;06.10.2020
15,7;21,6;11,4;;69;5;730,6;07.10.2020
17,5;23;14,4;0,3;86;10;730,9;08.10.2020
15,8;22;11;0,5;95;9;732,3;09.10.2020
15,5;21;12;;95;3;732,9;10.10.2020
12,9;19,5;7;0,3;76;5;732,6;11.10.2020
13,5;16;11;;93;3;735,5;12.10.2020
12,7;18;10;;90;2;738,8;13.10.2020
11,6;18;6,5;;71;3;737,9;14.10.2020
11,6;13;11;;97;2;735,3;15.10.2020
12,3;15,2;10,2;;95;5;733,4;16.10.2020
10,7;15;7;11;95;6;727,4;17.10.2020
7,9;11;5,4;;79;11;726,7;18.10.2020
10;14;7;;72;10;731,9;19.10.2020
7,8;9,1;7,1;1;87;3;731,4;20.10.2020
8,1;9,3;7,4;0,9;100;4;730;21.10.2020
7,1;9;5,5;8;95;7;733,8;22.10.2020
8,3;9;7;1;87;6;739,5;23.10.2020
8,3;14;2;;95;4;742,5;24.10.2020
8,6;13;3;;73;10;738,3;25.10.2020
12,8;20;7;;77;6;737,1;26.10.2020
11,6;16,3;5;;85;9;736,1;27.10.2020
11,2;15,9;6,7;;75;4;734,4;28.10.2020
9,7;13;4,3;;95;6;736;29.10.2020
13,1;17,2;11,3;;80;7;733;30.10.2020
11,9;17,7;8;;88;6;734;31.10.2020
10,1;14;7;;95;3;735,8;01.11.2020
9,4;14;4;;87;3;734,8;02.11.2020
8,4;11;6;;88;6;736,9;03.11.2020
6,8;10,2;4,7;;86;2;738,3;04.11.2020
5,3;10;3,7;2,2;84;3;739,2;05.11.2020
5;7;-2;0,4;95;3;737,4;06.11.2020
11,4;14;8;0,4;95;3;737,9;07.11.2020
11,9;13;11;0,2;95;5;741,6;08.11.2020
8;10;7;2,5;85;4;747,2;09.11.2020
5,6;7;3;;91;7;746,3;10.11.2020
6,7;7,7;6;;95;4;745,1;11.11.2020
5,2;13,1;-0,3;;96;4;742,4;12.11.2020
4,5;7;0;;95;1;744,6;13.11.2020
6,8;7,5;5;;89;4;746,5;14.11.2020
6,5;7;5;;91;7;745,8;15.11.2020
5;7;4;0,4;95;3;743,5;16.11.2020
4,7;6;3,8;;94;3;741,9;17.11.2020
5;9;1;;80;3;739;18.11.2020
6,4;10;4,9;0,2;91;3;739,4;19.11.2020
5,1;11,1;-0,1;;95;3;737,6;20.11.2020
7,7;10;5;0,6;95;3;742;21.11.2020
7,3;12;3;;95;5;745,7;22.11.2020
6,3;8;2;;81;8;740,7;23.11.2020
